feature,information_gain
mm_dst_bytes,1.0323348942669843
mm_src_bytes,1.0094829111947343
mm_dst_host_count,0.8909706738541308
mm_srv_count,0.7683272232021822
mm_count,0.7356505909625008
z_dst_bytes,0.5076524012647495
mm_dst_host_same_src_port_rate,0.457742178201056
z_src_bytes,0.35591925516769907
mm_dst_host_srv_diff_host_rate,0.2508423114052565
z_dst_host_count,0.22231318027785751
z_srv_count,0.19671283460165
mm_dst_host_srv_count,0.18605425413360366
z_count,0.18094685263169552
mm_srv_diff_host_rate,0.1670707254977467
mm_dst_host_diff_srv_rate,0.15843953579968673
mm_hot,0.15442324711864486
mm_dst_host_same_srv_rate,0.1537757767098823
mm_dst_host_rerror_rate,0.12336036008849471
mm_num_compromised,0.12090207588893886
mm_dst_host_srv_rerror_rate,0.11618921641554947
z_dst_host_srv_count,0.11356040120789812
z_dst_host_diff_srv_rate,0.10697874740167956
z_dst_host_same_srv_rate,0.10678212738534143
mm_logged_in,0.08051305201876269
z_dst_host_same_src_port_rate,0.07904916320623812
z_logged_in,0.07536462409601707
mm_duration,0.06959119709733497
z_duration,0.06423925594068358
mm_dst_host_serror_rate,0.03234983551071968
mm_srv_rerror_rate,0.03183612608118502
mm_dst_host_srv_serror_rate,0.029553041497450527
z_srv_diff_host_rate,0.024888632814399125
mm_is_guest_login,0.019975495052420245
z_dst_host_srv_diff_host_rate,0.0168755032907848
mm_rerror_rate,0.01649383395641668
z_dst_host_srv_rerror_rate,0.015156196207081862
z_dst_host_srv_serror_rate,0.012828313936568358
z_dst_host_rerror_rate,0.011055237674962415
mm_diff_srv_rate,0.009945203866652319
mm_same_srv_rate,0.009918739075425842
z_dst_host_serror_rate,0.00982197733036183
z_hot,0.00869623165478628
mm_srv_serror_rate,0.0060138117204278085
z_diff_srv_rate,0.00547005436910597
z_same_srv_rate,0.005431995862523076
z_num_compromised,0.003896538160755414
z_srv_rerror_rate,0.0038180070080671147
mm_serror_rate,0.0036876953154254544
mm_num_failed_logins,0.00357892199423393
z_srv_serror_rate,0.00297533748091916
mm_root_shell,0.0028416929429351256
z_is_guest_login,0.0027999322123732906
mm_num_access_files,0.0023890721059225406
mm_num_file_creations,0.0019084164266154335
z_serror_rate,0.00164922586720051
z_rerror_rate,0.0014980449990615874
mm_num_root,0.0009111016860288146
z_num_file_creations,0.00031193375491889164
z_num_failed_logins,0.00026254165182115763
mm_urgent,0.00023503862124463204
z_num_root,0.00021425574026068261
z_num_access_files,0.00019152714786230263
mm_wrong_fragment,0.0001160615299931056
mm_su_attempted,6.799858009465254e-05
z_root_shell,5.525694483288213e-05
z_su_attempted,4.575233504788834e-05
z_urgent,3.3998040664950935e-05
z_num_shells,2.8416818901089158e-05
z_wrong_fragment,1.133240260453583e-05
z_land,0.0
z_is_host_login,0.0
mm_num_shells,0.0
mm_land,0.0
mm_is_host_login,0.0
z_num_outbound_cmds,0.0
mm_num_outbound_cmds,0.0
